Lat,Lon
-71.7446903768688,-8.62800557098703
-71.7448515455188,-8.62825629558773
-71.7450127138403,-8.62850702445971
-71.7451738818334,-8.6287577576031
-71.745335049498,-8.62900849501797
-71.7454962168342,-8.62925923670446
-71.7456573838418,-8.62950998266264
-71.7458185505211,-8.62976073289265
-71.7459797168718,-8.63001148739457
-71.7461408828941,-8.6302622461685
-71.7463020485878,-8.63051300921458
-71.746463213953,-8.6307637765329
-71.7466243789897,-8.63101454812355
-71.7467855436979,-8.63126532398666
-71.7469467080775,-8.63151610412233
-71.7471078721286,-8.63176688853065
-71.747269035851,-8.63201767721175
-71.747430199245,-8.63226847016573
-71.7475913623103,-8.63251926739267
-71.7477525250471,-8.6327700688927
-71.7479136874553,-8.63302087466594
-71.7480748495349,-8.63327168471247
-71.7482360112858,-8.6335224990324
-71.7483971727081,-8.63377331762585
-71.7485583338018,-8.63402414049291
-71.7487194945669,-8.63427496763368
-71.7488806550032,-8.63452579904831
-71.749041815111,-8.63477663473685
-71.7492029748901,-8.63502747469945
-71.7493641343404,-8.63527831893618
-71.7495252934621,-8.63552916744719
-71.7496864522551,-8.63578002023253
-71.7498476107194,-8.63603087729236
-71.7500087688549,-8.63628173862674
-71.7501699266618,-8.63653260423582
-71.7503310841399,-8.63678347411967
-71.7504922412892,-8.63703434827842
-71.7506533981098,-8.63728522671215
-71.7508145546017,-8.637536109421
-71.7509757107647,-8.63778699640507
-71.751136866599,-8.63803788766444
-71.7512980221045,-8.63828878319923
-71.7514591772812,-8.63853968300956
-71.7516203321291,-8.63879058709552
-71.7517814866481,-8.63904149545721
-71.7519426408384,-8.63929240809474
-71.7521037946997,-8.63954332500825
-71.7522649482323,-8.6397942461978
-71.752426101436,-8.64004517166354
-71.7525872543108,-8.64029610140552
-71.7527484068568,-8.64054703542389
-71.7529095590738,-8.64079797371875
-71.753070710962,-8.64104891629019
-71.7532318625213,-8.64129986313833
-71.7533930137516,-8.64155081426326
-71.753554164653,-8.64180176966513
-71.7537153152256,-8.64205272934398
-71.7538764654691,-8.64230369329996
-71.7540376153838,-8.64255466153319
-71.7541987649694,-8.64280563404374
-71.7543599142261,-8.64305661083173
-71.7545210631538,-8.64330759189727
-71.7546822117526,-8.64355857724045
-71.7548433600223,-8.64380956686138
-71.755004507963,-8.6440605607602
-71.7551656555747,-8.64431155893698
-71.7553268028574,-8.64456256139185
-71.7554879498111,-8.64481356812488
-71.7556490964357,-8.64506457913623
-71.7558102427313,-8.64531559442595
-71.7559713886978,-8.64556661399418
-71.7561325343353,-8.64581763784101
-71.7562936796437,-8.64606866596658
-71.7564548246229,-8.64631969837095
-71.7566159692731,-8.64657073505425
-71.7567771135942,-8.64682177601659
-71.7569382575862,-8.64707282125806
-71.757099401249,-8.64732387077879
-71.7572605445827,-8.64757492457887
-71.7574216875873,-8.64782598265841
-71.7575828302627,-8.6480770450175
-71.7577439726089,-8.64832811165627
-71.757905114626,-8.64857918257484
-71.7580662563139,-8.64883025777327
-71.7582273976726,-8.6490813372517
-71.7583885387021,-8.64933242101021
-71.7585496794025,-8.64958350904894
-71.7587108197735,-8.64983460136797
-71.7588719598154,-8.65008569796742
-71.759033099528,-8.6503367988474
-71.7591942389114,-8.65058790400799
-71.7593553779655,-8.65083901344935
-71.7595165166904,-8.65109012717151
-71.759677655086,-8.65134124517465
-71.7598387931524,-8.65159236745882
-71.7599999308894,-8.65184349402417
-71.7601610682971,-8.65209462487076
-71.7603222053755,-8.65234575999874
-71.7604833421246,-8.6525968994082
-71.7606444785444,-8.65284804309925
-71.7608056146348,-8.65309919107199
-71.7609667503959,-8.65335034332652
-71.7611278858276,-8.65360149986295
-71.76128902093,-8.6538526606814
-71.761450155703,-8.65410382578197
-71.7616112901466,-8.65435499516477
-71.7617724242608,-8.6546061688299
-71.7619335580456,-8.65485734677745
-71.762094691501,-8.65510852900755
-71.762255824627,-8.6553597155203
-71.7624169574236,-8.65561090631582
-71.7625780898907,-8.65586210139419
-71.7627392220283,-8.65611330075552
-71.7629003538365,-8.65636450439994
-71.7630614853153,-8.65661571232752
-71.7632226164645,-8.6568669245384
-71.7633837472844,-8.65711814103268
-71.7635448777746,-8.65736936181046
-71.7637060079354,-8.65762058687185
-71.7638671377667,-8.65787181621695
-71.7640282672684,-8.65812304984587
-71.7641893964406,-8.65837428775871
-71.7643505252833,-8.65862552995559
-71.7645116537964,-8.65887677643661
-71.76467278198,-8.65912802720186
-71.764833909834,-8.65937928225149
-71.7649950373584,-8.65963054158555
-71.7651561645533,-8.6598818052042
-71.7653172914185,-8.6601330731075
-71.7654784179542,-8.66038434529557
-71.7656395441602,-8.66063562176856
-71.7658006700366,-8.66088690252652
-71.7658089652021,-8.66089983922189
